-----------------------------------------------------------------------------------
Name, Density, Temperature, Viscosity, Light Level, Rarity, Lighter Than Air, Block
-----------------------------------------------------------------------------------
cofh_core:experience, 250, 300, 500, 10, UNCOMMON, false, -
cofh_core:experience_flowing, 250, 300, 500, 10, UNCOMMON, false, -
cofh_core:honey, 1500, 300, 1000000, 0, COMMON, false, -
cofh_core:honey_flowing, 1500, 300, 1000000, 0, COMMON, false, -
cofh_core:potion, 1100, 300, 1100, 0, COMMON, false, -
cofh_core:potion_flowing, 1100, 300, 1100, 0, COMMON, false, -
create:chocolate, 1400, 300, 1500, 0, COMMON, false, create:chocolate
create:flowing_chocolate, 1400, 300, 1500, 0, COMMON, false, create:chocolate
create:flowing_honey, 1400, 300, 2000, 0, COMMON, false, create:honey
create:flowing_potion, 1000, 300, 1000, 0, COMMON, false, -
create:flowing_tea, 1000, 300, 1000, 0, COMMON, false, -
create:honey, 1400, 300, 2000, 0, COMMON, false, create:honey
create:potion, 1000, 300, 1000, 0, COMMON, false, -
create:tea, 1000, 300, 1000, 0, COMMON, false, -
create_central_kitchen:apple_cider, 1000, 300, 1000, 0, COMMON, false, -
create_central_kitchen:dragon_breath, 1000, 300, 1000, 15, COMMON, false, -
create_central_kitchen:flowing_apple_cider, 1000, 300, 1000, 0, COMMON, false, -
create_central_kitchen:flowing_dragon_breath, 1000, 300, 1000, 15, COMMON, false, -
create_central_kitchen:flowing_hot_cocoa, 1000, 300, 1000, 0, COMMON, false, -
create_central_kitchen:flowing_melon_juice, 1000, 300, 1000, 0, COMMON, false, -
create_central_kitchen:flowing_tomato_sauce, 1400, 300, 2000, 0, COMMON, false, create_central_kitchen:tomato_sauce
create_central_kitchen:hot_cocoa, 1000, 300, 1000, 0, COMMON, false, -
create_central_kitchen:melon_juice, 1000, 300, 1000, 0, COMMON, false, -
create_central_kitchen:tomato_sauce, 1400, 300, 2000, 0, COMMON, false, create_central_kitchen:tomato_sauce
create_dd:caramel, 1400, 300, 1500, 0, COMMON, false, create_dd:caramel
create_dd:caramel_milkshake, 1400, 300, 1500, 0, COMMON, false, create_dd:caramel_milkshake
create_dd:chocolate_milkshake, 1400, 300, 1500, 0, COMMON, false, create_dd:chocolate_milkshake
create_dd:condense_milk, 1400, 300, 1500, 0, COMMON, false, create_dd:condense_milk
create_dd:cream, 1400, 300, 1500, 0, COMMON, false, create_dd:cream
create_dd:flowing_caramel, 1400, 300, 1500, 0, COMMON, false, create_dd:caramel
